Incident ID,# Killed,# Injured,Year
986092,1,5,2017
984822,0,4,2017
984455,0,4,2017
980577,27,20,2017
980269,0,4,2017
980192,0,4,2017
980060,1,3,2017
979651,0,4,2017
980258,0,4,2017
980004,0,4,2017
980401,1,4,2017
975600,1,3,2017
975817,0,4,2017
974704,1,3,2017
974051,0,6,2017
974411,0,4,2017
966895,2,3,2017
966153,0,4,2017
966178,2,7,2017
965066,0,4,2017
965077,0,4,2017
965756,0,4,2017
965251,0,4,2017
962359,3,3,2017
962155,0,4,2017
962623,1,3,2017
960036,2,2,2017
959126,1,3,2017
957980,2,2,2017
957562,4,0,2017
956942,0,4,2017
955268,0,5,2017
954428,0,4,2017
953156,0,5,2017
952720,4,0,2017
952220,0,4,2017
945990,3,2,2017
946496,59,441,2017
946138,1,3,2017
944448,1,3,2017
942628,1,3,2017
942522,0,4,2017
942830,2,2,2017
941144,0,4,2017
940554,1,8,2017
940644,0,4,2017
941257,1,3,2017
939834,1,4,2017
940068,0,5,2017
940142,2,2,2017
939482,0,5,2017
936028,1,3,2017
935928,1,4,2017
934036,0,8,2017
932526,1,5,2017
932181,1,3,2017
932906,0,4,2017
932619,0,4,2017
930569,9,1,2017
930266,1,3,2017
931139,0,4,2017
928380,0,4,2017
927277,0,4,2017
926766,2,3,2017
925809,0,4,2017
925436,1,3,2017
922184,2,4,2017
921733,1,4,2017
921653,1,3,2017
921289,0,4,2017
920513,4,0,2017
918204,0,4,2017
917793,0,4,2017
917820,4,0,2017
918061,1,3,2017
917713,1,3,2017
917838,0,4,2017
916808,0,4,2017
916848,2,5,2017
916551,1,4,2017
914819,0,4,2017
913924,2,2,2017
912805,0,5,2017
912322,0,4,2017
912375,0,4,2017
912093,1,3,2017
909423,1,6,2017
907555,0,6,2017
907546,0,4,2017
907857,0,7,2017
907247,0,4,2017
907611,1,3,2017
906568,1,3,2017
906509,3,2,2017
906126,1,3,2017
904329,0,4,2017
903853,0,4,2017
904106,0,6,2017
904026,0,7,2017
903090,0,4,2017
902187,1,3,2017
901549,1,5,2017
901083,1,4,2017
901000,2,3,2017
900963,0,4,2017
900387,1,4,2017
898631,1,6,2017
898448,1,3,2017
896444,1,3,2017
896889,0,4,2017
896149,0,5,2017
893690,0,5,2017
894504,1,3,2017
893726,0,4,2017
893712,1,3,2017
893752,0,4,2017
891291,1,3,2017
891092,0,4,2017
886564,0,7,2017
886002,0,4,2017
886220,1,8,2017
884764,0,4,2017
883052,0,4,2017
883282,2,2,2017
883058,4,1,2017
882665,0,4,2017
882321,1,4,2017
883489,1,3,2017
882422,3,1,2017
881921,1,3,2017
881700,0,4,2017
880738,0,4,2017
879953,0,25,2017
883656,0,4,2017
880808,2,2,2017
880813,0,4,2017
879412,2,6,2017
877295,0,5,2017
876010,0,4,2017
875886,1,3,2017
874613,1,4,2017
875322,0,5,2017
876076,0,4,2017
873847,1,6,2017
870095,3,2,2017
870222,0,4,2017
869877,0,4,2017
869968,0,7,2017
869838,0,4,2017
869357,1,4,2017
868042,1,3,2017
868363,5,0,2017
866739,1,5,2017
868147,0,4,2017
866933,4,2,2017
866412,0,4,2017
866448,2,2,2017
869474,0,4,2017
864743,0,9,2017
864852,0,4,2017
865371,0,4,2017
865186,0,4,2017
864370,2,5,2017
863075,0,6,2017
861307,3,2,2017
859875,6,0,2017
858810,2,2,2017
858719,3,2,2017
858877,1,3,2017
858378,2,3,2017
857443,3,1,2017
855764,1,3,2017
855113,1,3,2017
853901,0,12,2017
853796,1,5,2017
853920,0,5,2017
853032,0,4,2017
853119,1,7,2017
853756,8,1,2017
852676,0,4,2017
848680,1,3,2017
849215,0,4,2017
848292,0,10,2017
845364,3,1,2017
843078,1,6,2017
843045,0,5,2017
843172,0,5,2017
843590,0,4,2017
840339,1,3,2017
839846,3,1,2017
838272,2,8,2017
835961,1,3,2017
834832,1,3,2017
833152,2,3,2017
832679,2,6,2017
832528,4,1,2017
833128,0,5,2017
832309,1,5,2017
835459,1,3,2017
832290,0,5,2017
831800,1,5,2017
831667,1,3,2017
834788,0,4,2017
832063,0,4,2017
831201,0,4,2017
830984,1,3,2017
829073,0,4,2017
825694,2,2,2017
825111,0,4,2017
821667,0,4,2017
821723,0,4,2017
821371,0,9,2017
821640,0,4,2017
821055,0,4,2017
820565,0,4,2017
821400,0,6,2017
821651,0,4,2017
822750,0,4,2017
818932,1,3,2017
815227,1,3,2017
815246,1,3,2017
813877,3,1,2017
813821,5,0,2017
813943,4,1,2017
814094,1,5,2017
813028,1,3,2017
810756,3,1,2017
811089,0,7,2017
809978,2,4,2017
809683,0,5,2017
809815,0,5,2017
809048,1,4,2017
809499,2,3,2017
807618,4,0,2017
804115,2,4,2017
803689,2,2,2017
803822,2,4,2017
803054,2,15,2017
802926,1,4,2017
803460,1,3,2017
802837,2,2,2017
802425,1,4,2017
802240,1,6,2017
800363,5,0,2017
797553,1,5,2017
797125,3,2,2017
794468,3,1,2017
791298,2,2,2017
791274,3,1,2017
789798,0,4,2017
789424,0,4,2017
787875,1,4,2017
787801,0,4,2017
786876,0,4,2017
787435,0,5,2017
785262,0,6,2017
783963,0,4,2017
783623,1,4,2017
783102,2,3,2017
783090,1,4,2017
780792,0,4,2017
780036,0,4,2017
779582,4,0,2017
778941,0,5,2017
778182,1,3,2017
777876,0,4,2017
777410,1,3,2017
775903,0,4,2017
775531,3,2,2017
773002,1,6,2017
773162,1,3,2017
773908,0,5,2017
772753,1,3,2017
772989,0,4,2017
772067,1,5,2017
771826,4,0,2017
769889,1,4,2017
769511,0,4,2017
769859,1,4,2017
768243,4,0,2017
765559,0,4,2017
765153,0,4,2017
764020,0,4,2017
763313,1,4,2017
1025158,4,0,2017
761973,0,10,2017
760482,2,3,2017
760259,0,6,2017
757158,3,2,2017
757032,0,4,2017
757001,3,1,2017
756801,0,6,2017
756526,0,5,2017
756504,2,2,2017
757955,1,4,2017
756015,0,4,2017
752756,0,4,2017
752222,0,8,2017
752249,3,1,2017
751367,1,4,2017
749361,3,2,2017
749769,2,2,2017
748152,1,3,2017
748348,1,3,2017
745236,1,3,2017
744799,2,2,2017
743995,5,6,2017
742542,3,1,2017
742001,0,4,2017
743282,0,5,2017
739451,1,3,2017
739766,0,7,2017
1289686,3,2,2018
1288376,1,3,2018
1287286,4,1,2018
1284586,2,2,2018
1283229,1,6,2018
1282704,0,4,2018
1279617,0,5,2018
1277327,0,5,2018
1277411,1,3,2018
1276091,0,4,2018
1276298,1,3,2018
1272855,0,4,2018
1273161,0,5,2018
1272106,0,5,2018
1267682,0,5,2018
1266937,0,4,2018
1262814,2,2,2018
1263332,0,4,2018
1263086,1,3,2018
1262013,2,5,2018
1261351,3,2,2018
1260525,0,4,2018
1258777,1,4,2018
1258804,4,0,2018
1258009,1,4,2018
1257508,3,1,2018
1256435,3,1,2018
1254225,4,1,2018
1254084,3,1,2018
1253361,3,1,2018
1249561,13,2,2018
1246727,0,5,2018
1247019,0,4,2018
1246489,3,4,2018
1245703,0,5,2018
1245274,3,2,2018
1244754,1,3,2018
1246059,2,3,2018
1244424,0,5,2018
1243331,0,7,2018
1243010,2,2,2018
1242807,0,5,2018
1241819,11,7,2018
1242443,1,3,2018
1240751,0,5,2018
1238603,0,6,2018
1237930,1,5,2018
1238052,1,3,2018
1234087,0,4,2018
1233663,5,0,2018
1232554,0,4,2018
1233563,3,1,2018
1233068,2,2,2018
1232288,4,1,2018
1232018,0,4,2018
1232044,0,6,2018
1231385,0,4,2018
